Scan_Group,Point_0_Real,Point_1_Real,Point_2_Real,Point_3_Real,Point_4_Real,Point_5_Real,Point_6_Real,Point_7_Real,Point_8_Real,Point_9_Real,Point_10_Real,Point_11_Real,Point_12_Real,Point_13_Real,Point_14_Real,Point_15_Real,Point_16_Real,Point_17_Real,Point_18_Real,Point_19_Real,Point_20_Real,Point_21_Real,Point_22_Real,Point_23_Real,Point_24_Real,Point_25_Real,Point_26_Real,Point_27_Real,Point_28_Real,Point_29_Real,Point_30_Real,Point_31_Real,Point_32_Real,Point_33_Real,Point_34_Real,Point_35_Real,Point_36_Real,Point_37_Real,Point_38_Real,Point_39_Real,Point_40_Real,Point_41_Real,Point_42_Real,Point_43_Real,Point_44_Real,Point_45_Real,Point_46_Real,Point_47_Real,Point_48_Real,Point_49_Real,Point_0_Imag,Point_1_Imag,Point_2_Imag,Point_3_Imag,Point_4_Imag,Point_5_Imag,Point_6_Imag,Point_7_Imag,Point_8_Imag,Point_9_Imag,Point_10_Imag,Point_11_Imag,Point_12_Imag,Point_13_Imag,Point_14_Imag,Point_15_Imag,Point_16_Imag,Point_17_Imag,Point_18_Imag,Point_19_Imag,Point_20_Imag,Point_21_Imag,Point_22_Imag,Point_23_Imag,Point_24_Imag,Point_25_Imag,Point_26_Imag,Point_27_Imag,Point_28_Imag,Point_29_Imag,Point_30_Imag,Point_31_Imag,Point_32_Imag,Point_33_Imag,Point_34_Imag,Point_35_Imag,Point_36_Imag,Point_37_Imag,Point_38_Imag,Point_39_Imag,Point_40_Imag,Point_41_Imag,Point_42_Imag,Point_43_Imag,Point_44_Imag,Point_45_Imag,Point_46_Imag,Point_47_Imag,Point_48_Imag,Point_49_Imag
FinalAvg,-33145.638,-32856.918,-32670.36,-32416.542,-32333.414,-32182.944,-31021.414,-32023.502,-31925.646,-31852.046,-31571.004,-31670.298,-31497.1,-31653.632,-31568.902,-31617.954,-31635.336,-31846.71,-32219.746,-32406.454,-32571.42,-32688.882,-32818.146,-32841.804,-32856.16,-32846.178,-32836.108,-32781.388,-21227.276,-14153.99,-7371.922,-4080.52,-5273.452,-3963.836,-3747.714,-5241.004,-7030.226,-9117.092,-11955.704,-13594.468,-15893.534,-16813.24,-17384.55,-18011.146,-18483.836,-18422.386,-18504.158,-19064.188,-20929.932,-22082.882,-6959.914,3153.768,625.388,6945.21,-3371.912,-10997.332,9741.144,24623.862,16195.74,9504.914,7045.754,8024.526,-13262.722,4377.47,4418.926,7293.048,12620.948,7017.582,4313.212,2459.652,10434.28,12083.114,7387.958,11073.974,18210.418,26241.472,22079.332,27383.918,26930.6,29831.796,29299.036,21612.144,15013.59,9273.268,4189.844,1028.666,-3184.032,-3845.574,-4749.63,-6228.582,-5972.8,-5513.308,-5149.642,-3615.586,-1832.714,-3855.042,-3570.062,-3420.168,-873.886,1470.122
Scan_1,2930.14,2844.76,13332.22,19676.06,14888.42,11209.12,-11539.14,-2624.16,24798.46,28133.24,24664.8,24988.6,7295.84,23494.36,15047.68,20396.18,22727.72,15381.84,16996.9,7766.98,10110.38,10780.1,10804.44,17832.72,21853,25093.36,27069.98,29025.8,21535.82,25956.82,22958.28,17742.82,14022.96,9314.88,5640.68,2486.68,-522.4,-1982.3,-4208.56,-5506.4,-6985.26,-8029.38,-7774.56,-9490.26,-10113.62,-11851.44,-11849,-11197.9,-11499.28,-12384.06,31189.98,31215.56,31191.1,31341.44,31320.08,31454.32,31425.34,30890.6,29009.8,31361.28,31366.32,31180.12,31325.38,31079.08,31118.88,31114.24,31275.94,31338.74,31394.02,31614.42,31853.38,32016.94,32206.8,32290.28,32361.2,32368.16,32382.4,32322.26,30180.02,20012.24,12471.86,7325.54,2856.3,1569.88,587.62,701.22,1585.06,2505.66,3543.38,4563.1,5722.44,6125.58,7235.22,6917.6,7524.56,6811.4,9182.18,11054.98,14560.74,15817.5
Scan_2,4686.08,4060.34,14635.82,20459,15554.42,11641.16,-11350.88,-2603.7,24246.9,27224.24,23318.02,23329.26,5216.44,21399.84,12696.6,17928.58,20214.6,12942.9,14874.6,6003.5,8439,9455.94,9803.72,16911.26,21084.58,24448.88,26651,28662.32,21330.76,25851.4,22986.5,17868.36,14118.94,9444.72,5879.16,2538.02,-455.64,-2032.52,-4187.1,-5522.62,-6948.4,-8083.9,-7823.4,-9473.72,-10126.86,-11780.38,-11719.08,-11097.28,-11375.08,-12263.6,32970.04,32621.72,32195.82,31960.14,31751.68,31656.72,31636.14,31085.22,29132.96,31493.66,31283.44,31433.78,31124.5,31321.94,31096.84,31168.6,31028.32,31458.84,31835.08,32020.3,32428.74,32503.1,32749.34,32854.92,32955.88,33009.64,32961.68,32968.18,30782.4,20574.54,12927.08,7704.66,3151.62,1763.94,710.96,737.98,1628.4,2498.94,3560.42,4589.94,5808.7,6256.86,7399.92,7137.66,7790.34,7070.24,9435.98,11288.92,14764.84,15994.98
Scan_3,4936.18,4605.28,15004.12,21124.98,15956.96,12189.84,-10938.42,-2159.68,25057.5,28183.16,24796.54,25056,7375.36,23640.72,15171.28,20662.28,22739.14,15411.36,17029.82,7822.68,9980.62,10656.58,10653.42,17605.32,21550.86,24834.32,26845.86,28781.78,21334.56,25806.64,22875.76,17714.24,13986,9258.78,5610.06,2416.76,-624.4,-2107.94,-4343.4,-5587.92,-7140.04,-8189.14,-7891.08,-9522.24,-10158.98,-11856.42,-11804.3,-11180.28,-11468.42,-12364.7,31073.84,30931.24,30801.98,30826.2,30649.98,30891.32,30829.76,30484.66,28807.08,31318.88,31571.18,31493.14,31742.38,31608.04,31636.92,31822.82,31747.76,31897.12,32041.02,32331.66,32560.48,32760.2,32941.26,33045.42,33081.54,33068.54,33020.78,32898.2,30672.86,20415.76,12796.26,7570.46,3048.36,1703.3,677.34,776.38,1642.62,2576.5,3626.14,4667.64,5847.96,6288.28,7433.1,7125.78,7744.54,7018.48,9358.28,11219.86,14695.4,15918.28
Scan_4,4250.28,3525.42,13977.9,19807.96,14760.32,10848.74,-12199.1,-3429.08,23517.86,26718.52,22830.9,23357.64,5257,21779.06,13196.6,18700.26,21158.44,13919.66,15891.74,6942.92,9403.42,10321.24,10513.28,17489.54,21468.7,24624.08,26652.7,28482.28,21049.4,25456.34,22575.18,17426.88,13715.26,9035.96,5433.98,2280.28,-748.06,-2206.54,-4407.38,-5665.54,-7096.88,-8169.56,-7855.7,-9485.9,-10084.02,-11731.68,-11647.46,-11019.22,-11268.18,-12183.82,32783.74,32619.58,32311.92,32022.5,31859.72,31621.8,31581.06,30962.02,29115.5,31366.5,31219.38,31284.66,31160.36,31286.16,31158.48,31218.12,31222.24,31558.94,31870.8,32116.32,32312.04,32481.42,32629.2,32735.5,32846.4,32826.02,32889.34,32877.42,30813.18,20677.66,13139.6,7943.12,3471,2077.48,1044.44,1092.04,1928.48,2798.6,3832.54,4856.62,6042.1,6502.38,7637.86,7355.56,7981.82,7246.8,9582.34,11440.14,14877.82,16127.72
Scan_5,2417.32,2377.42,13576.22,20023.14,15623.08,12232.02,-10218.32,-1090.28,26331.12,29589.58,26259.12,26520.56,8584.76,24748.68,16187.92,21530.4,23683.7,16197.42,17600.82,8387.1,10468.16,11127.24,11089.14,18016.92,21939.74,25143.98,27151.7,29019.96,21523.04,25978.08,23021.98,17801.94,14007.22,9243.98,5606.38,2448.94,-592.36,-2002.48,-4170.46,-5384.68,-6828.58,-7840.88,-7535.44,-9179.36,-9842.78,-11540.84,-11549.06,-10957.14,-11326.9,-12253.86,32775.48,32896.54,33068.12,33143.66,33097.94,33143.48,32935.2,32177.98,30313.32,32095.02,32026.82,31848.62,31595.7,31441.78,31343.2,31477.1,31507.32,31569.48,31553.04,31873.54,32041.18,32256.24,32426.5,32562.02,32606.92,32632.88,32629.06,32607.44,30471.84,20302.88,12748.82,7601.78,3156.34,1890.92,920.64,1058.72,1938.16,2847.88,3881.48,4912.2,6052.56,6436.06,7478.98,7157.48,7722.04,6964.04,9288.26,11149.42,14630.2,15871.2
Scan_6,3261.32,2825.82,13480.64,19465.24,14706.22,10989.86,-11721.78,-2823.36,24428.52,27700.42,24290.78,24723.92,6912.22,23064.98,14463.82,19762.6,22063.3,14907.64,16562.2,7281.08,9500.34,10305.02,10402.7,17444.84,21486.14,24768.78,26837.02,28827.14,21371.36,25843.2,22944.54,17777.86,14010.68,9294.94,5674.38,2492.48,-550.04,-2033.14,-4260.42,-5581.42,-7058.46,-8076.2,-7825.94,-9543.12,-10222.98,-11920.7,-11902.06,-11301.92,-11615.64,-12511.94,32235.2,32362.38,32473.8,32546.06,32508.14,32452.34,32345.9,31719.78,29732.46,32016.18,31993.72,31856.54,31903.18,31636.48,31587.82,31574.52,31701.8,31864.78,31949.52,32157.78,32400.7,32580.68,32761.36,32875.82,32994.02,32976.8,33021.28,33003.82,30843.54,20680.86,13103.02,7921.14,3433.92,2092.62,1075.82,1137.98,1990.74,2824.3,3839.22,4831.16,5987.16,6382.62,7481.76,7160.6,7784.5,7029.8,9363.8,11236.3,14726.6,15944.06
Scan_7,3163.46,2485.56,13418.22,19364.94,14688.68,11056.66,-11596.76,-2638.58,24660.68,27916.36,24405.28,24801.94,6969.02,23291.26,14714.12,20095.28,22379.72,15034.48,16745.9,7563.4,9875.54,10686.18,10777.84,17795.5,21816.42,25089.34,27140.38,29080.86,21627.88,26045.48,23097.92,17904.24,14137.86,9433.88,5780.74,2593.8,-458.4,-1925.28,-4174.2,-5484.6,-6986.38,-8057.8,-7790.22,-9478.22,-10112.48,-11805.28,-11751.6,-11143.96,-11421.04,-12321.84,33968.74,33792.34,33819.7,33643.46,33503.92,33281.24,33043.88,32302.54,30246.3,32454.22,32292.1,32043.2,31986.96,31737.3,31628.6,31596.58,31704.92,31730.98,31806.3,32008.9,32217.18,32382.38,32539.08,32635.74,32704.56,32711.78,32691.5,32649.92,30481.82,20316.6,12751.18,7593.82,3135.24,1836.58,858,926.7,1817.6,2710.34,3752.2,4787.22,5967.76,6397.4,7533.24,7238.76,7862.9,7136.74,9505.56,11356.08,14844.3,16062.36
Scan_8,2492.62,2227.68,12992.08,19127.68,14371.6,10897.62,-11765.32,-2778.8,24429.06,27634,24390.72,24839.38,6746.06,22746.44,14145.2,19386.32,21256.2,13907.62,15553.72,6283.42,8555.14,9376.42,9532.08,16719.08,20812.9,24214.94,26336.76,28392.22,21005.98,25533.54,22651,17522.34,13807.36,9154.16,5575.68,2405.88,-572.22,-1980.04,-4163.96,-5438.02,-6919.24,-7975.9,-7705.14,-9387.48,-10042.36,-11732.6,-11694.92,-11099.96,-11387.66,-12298.82,31438.52,31223.82,30899.76,30936.46,30775.44,30777.22,30667.7,30113.7,28191.94,30575.44,30732.08,30656.18,30795.96,30661.34,30804.94,30929.24,31219.88,31429.36,31703.5,32088.8,32498.96,32786.08,33021.98,33112.24,33173.54,33093.08,33126.98,33044.42,30914.5,20704.68,13170.88,8026.64,3603.34,2297.7,1285.22,1393.66,2250.44,3077.36,4066.42,5042.76,6131.46,6510.78,7578.28,7244.2,7844.7,7096.88,9433.86,11287.66,14762.16,15992.32
Scan_9,4534.46,4082.54,14750.78,20926.58,16087.68,12517.32,-10268.24,-1270,26067.7,29275.54,25924.62,26126.6,8334.3,24188.1,15730.26,20992.14,23215.5,15809.18,17204.64,7959.42,10174.02,10900.16,10877.76,17736.76,21766.64,25020.12,27078.4,28999.24,21575.6,26032.94,23104.72,17947.9,14195.6,9498.3,5872.72,2711.92,-339.9,-1793.74,-4008.62,-5302.22,-6801.02,-7867.74,-7610.34,-9301.36,-9967.34,-11685.28,-11675.84,-11091.64,-11413.24,-12355.36,33296,33142.74,32814.34,32416.48,31994.8,31819.9,31298.04,30644.62,28702.3,30898.36,30885.52,30707.1,30883.62,30428.12,30484.44,30533.78,30685.76,30924.82,31020.16,31356.04,31658.26,31898,32135.04,32273.54,32400.06,32467.12,32523.46,32545.7,30422.92,20304.6,12772.92,7671.42,3264.18,1991.28,1051.22,1147.9,2051.3,2868.6,3910.92,4912.4,6086.18,6500.52,7575.06,7269.52,7886.26,7166.18,9513.38,11379.58,14878.1,16120.48
