Scan_Group,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Bean Name
Scan_1,-10047,-14945.58,-7200,3942.1,4096.08,5761.44,-31975.06,-28955.36,-33329.88,-33288.16,-19590.1,-15795.96,-20182.42,-27933.64,-13314.18,-23739.12,-14769.82,-7965.44,-12567.46,-15642.3,-27123.68,-28574.34,-16669.62,-11564.12,-32242.84,-32268.1,-25988.88,-16108.1,-16127.92,-14102.54,1467.8,-6979.16,1442.82,1933.68,3137.46,6392.22,6310.74,9766.08,6047.8,1294.26,1363.54,1704.58,-2218.86,-4790.76,-9418.16,-11942.08,-16426.28,-11812.88,-14070.72,-13199.72,-31331.9,-31259.34,-30881.36,-31006.74,-30835.68,-30776.64,-29998.14,-21363.4,-25635.42,-30684.2,-31101.1,-30888.22,-31001.34,-30903.2,-30935.08,-20472.06,-30731.22,-30698.1,-30951.28,-31101.78,-31321.72,-31496.34,-31843.38,-31886.94,-29872.82,-32078.62,-32410.08,-32457.38,-32511.46,-32496.56,-32510.42,-32489.26,-32394.62,-32280.14,-29013.82,-28627.5,-26011.86,-26513.94,-24473.06,-24860.18,-24004.9,-23140.54,-21692.42,-20439.06,-17945.6,-16881.64,-15865.14,-17553.88,-17017.66,-19910.24,Yemen
Scan_2,-8118.86,-12383.42,-4790,6897.36,7049.18,8436.12,-29352.74,-26515.9,-31316.62,-31632.74,-17984.92,-14849.46,-19197.8,-27362.48,-13044.76,-23590.04,-14863.02,-8238.94,-13046.26,-16156.26,-27516.38,-29034.14,-17158.62,-11800.3,-32411.06,-32277.94,-25842.2,-15742.28,-15507.5,-13369.94,2328.58,-6061.44,2342.3,2782.74,3849.56,7031.98,6809.26,10239.4,6350.82,1576.44,1604.62,1921.14,-1991.34,-4555.6,-9168.62,-11683.04,-16157.26,-11540.2,-13781.78,-12941.76,-33032.58,-32944.8,-32971.1,-32950.66,-33332.58,-33501.2,-32714.44,-24188.36,-28384.02,-33572.72,-33771.12,-33567.74,-33290.8,-33135.2,-32867.62,-22143.38,-32221.28,-31992.14,-32067.9,-32007.88,-31956.66,-31996.06,-32113.86,-32120.06,-29945.46,-32104.68,-32424.58,-32444.76,-32572.36,-32643.34,-32689.82,-32754.94,-32780.62,-32764.42,-29529.86,-29289.64,-26580.68,-27137.98,-25016.5,-25336.46,-24384.68,-23432.02,-21922.52,-20585.48,-18031.24,-16886.88,-15861.24,-17544.32,-17008.74,-19881.32,Yemen
Scan_3,-6836.86,-11634.5,-4244.84,7351.14,7406.22,8653.9,-29338.7,-26587.4,-31508.7,-31769.36,-17999.9,-14811.16,-19291.7,-27308.46,-12954.18,-23412.16,-14710.48,-8079.76,-12968.34,-16128.7,-27469.98,-28954.16,-17093.94,-11940.26,-32509.26,-32347.2,-25884.28,-15735.46,-15505.62,-13384.04,2296,-6078.7,2291.64,2729.16,3803.98,6951.8,6691.02,10092.66,6167.24,1381,1387.96,1689.22,-2247.62,-4823.48,-9438.68,-11943.68,-16384.5,-11766.36,-13998.1,-13116.86,-30467.96,-30481.94,-30680.5,-31138.56,-31706.08,-32001.68,-31153.16,-22842.1,-27065.94,-32324.24,-32623.42,-32431.78,-32360.42,-32226.4,-32090.88,-21459.4,-31618.02,-31476.68,-31643.54,-31654.14,-31654.84,-31714.04,-31895.86,-31874.68,-29701.3,-31878.24,-32235.76,-32267.86,-32427.98,-32475.06,-32509.36,-32616.22,-32636.46,-32647.66,-29408.9,-29181.9,-26533.92,-27075.38,-24984.3,-25290.6,-24357.4,-23400.78,-21863.4,-20534.3,-17958.42,-16840.44,-15779.36,-17452.42,-16908.8,-19788.54,Yemen
Scan_4,-8280.5,-12801.12,-5366.32,6104.68,6147.3,7494.98,-30418.74,-27631.4,-32522.3,-32727.5,-19067.8,-15955.74,-20390.68,-28418.64,-14113.14,-24552.44,-15793.94,-8984.66,-13654.28,-16736.26,-28065.44,-29404.08,-17407.54,-12105.76,-32596.48,-32402.3,-25939,-15835.96,-15616.36,-13509.18,2207.68,-6167.72,2249.7,2716.48,3886.78,7085.48,6895.52,10298.28,6471.92,1712.36,1710.86,2036.84,-1905.54,-4508.54,-9124.06,-11651.84,-16123.14,-11551.48,-13794.66,-12966.84,-33060,-32965.78,-33022.06,-33064.34,-33355.04,-33436.26,-32746.86,-24213.92,-28541.04,-33528.1,-33482.7,-33322.54,-33051.26,-32944.94,-32504.76,-21773.34,-31929.84,-31567.78,-31638.5,-31674.58,-31644.32,-31705.96,-31876.98,-31934,-29786,-32007.92,-32365.6,-32382.1,-32493.84,-32489.1,-32534.7,-32549.28,-32553.36,-32487.3,-29165.98,-28931.66,-26236.28,-26755.64,-24667.68,-24986.04,-24052.58,-23152.82,-21677.62,-20347.12,-17804.84,-16708.24,-15698.22,-17382.2,-16864.64,-19761.7,Yemen
Scan_5,-7868.26,-12154.14,-4066.28,7690.04,7805.32,9113.64,-28624.72,-25932.42,-30903.98,-31341.24,-17598.36,-14626.9,-19125.76,-27333.64,-12995.1,-23535.8,-14770.06,-8121.62,-12989.1,-16080.48,-27437.32,-28874.96,-17093.62,-11820.78,-32392.68,-32250.56,-25757.56,-15667.1,-15456.92,-13322.18,2381.04,-6008.2,2394.08,2832.14,3944.88,7112.94,6886.98,10295.28,6419.56,1636.4,1652.06,1951.12,-1990.22,-4588.92,-9226.98,-11763.16,-16257.02,-11671.92,-13929.36,-13096.98,-29296.6,-29330.1,-29682.66,-30270.6,-30924.66,-31247.22,-31159.6,-22868.78,-27559.16,-33013.16,-33266.98,-33300,-33241.38,-33201.68,-33039.34,-22397.66,-32567.82,-32438.6,-32635.88,-32602.26,-32587.98,-32617.64,-32682.58,-32685.08,-30450.32,-32554.42,-32850.78,-32820.96,-32853.56,-32793.1,-32841.38,-32828.52,-32853.9,-32798.6,-29439.88,-29211.3,-26522.5,-27074.4,-24940.36,-25275.66,-24325,-23381.24,-21868.96,-20535.66,-17979.9,-16849.22,-15817.1,-17487.86,-16938.84,-19818.68,Yemen
Scan_6,-8391.14,-13147.26,-5836.5,5635.16,5900.94,7292.96,-30449.54,-27399.36,-32042.64,-32101.8,-18120.98,-14767.32,-19057.1,-27050.88,-12592.9,-23023.18,-14225.5,-7574.96,-12484.18,-15581.3,-26954.06,-28390.2,-16620.24,-11431.84,-32021.6,-31915.64,-25390.6,-15378.68,-15216.66,-13123.94,2579.78,-5891.06,2500.04,2928.98,3967.56,7192.66,6949.36,10352.18,6449.64,1709.94,1709.34,2008.46,-1924.44,-4515.8,-9140.66,-11666.94,-16147.14,-11539.4,-13790.78,-12950.02,-31368.18,-31288.04,-31276.26,-31427,-31581.42,-31816.16,-31099.84,-22722.1,-27183,-32406.02,-32777.66,-32738.24,-32781.82,-32794.88,-32802.7,-22208.3,-32482.3,-32434.4,-32662.8,-32691.22,-32803.68,-32901.5,-32996.12,-33065.38,-30870.24,-32954.9,-33176.68,-33200.18,-33273.42,-33246.76,-33187.22,-33235.7,-33208.28,-33046.94,-29720.84,-29418.66,-26692.26,-27236.62,-25099.28,-25334.14,-24403.38,-23459.56,-21917.38,-20571.7,-18013.24,-16887.16,-15837.5,-17514.9,-16957.76,-19834.64,Yemen
Scan_7,-8135.34,-12271.12,-4921.32,6959.86,7144.6,8608.68,-29294.3,-26515.16,-31354.44,-31614.62,-17811.78,-14664.5,-19108.28,-27230.22,-12933.52,-23496.84,-14807.26,-8242.44,-13131.64,-16304.76,-27744.3,-29173.9,-17461.26,-12186.96,-32795.06,-32703.9,-26210.6,-16183.82,-16064.34,-13977.7,1756.9,-6627.78,1798.46,2259.2,3365.18,6586.24,6433.3,9928.32,6091.26,1383.96,1450.34,1800.38,-2092.52,-4637.72,-9214.6,-11703.68,-16143.28,-11518.9,-13755.06,-12909.74,-30123.84,-30282.84,-30484.08,-30987.78,-31509.86,-32004.62,-31298.54,-22852.12,-27331.76,-32558,-32857.04,-32864.26,-32770.92,-32717.38,-32634.8,-22063.58,-32282.28,-32187.78,-32387.16,-32417.52,-32442.9,-32492.9,-32604.7,-32747.84,-30578.54,-32767.96,-33060.06,-33163.66,-33177.4,-33216.52,-33234.32,-33217.96,-33205.04,-33056.5,-29733.22,-29371.22,-26705.32,-27171.32,-25033.78,-25302.42,-24341.1,-23369.02,-21828.3,-20486.88,-17920.04,-16813.84,-15778.1,-17462.78,-16941.24,-19864.9,Yemen
Scan_8,-7204,-11730.56,-4263.42,7364.76,7430.12,8627.84,-29255.1,-26495.02,-31464.34,-31787.44,-18103.04,-15037.68,-19589.04,-27734.44,-13502.04,-24055.18,-15296.12,-8688.36,-13501.44,-16592.24,-28003.12,-29392.6,-17660.06,-12328.96,-32912.44,-32831.24,-26390.9,-16356.06,-16285.4,-14105.06,1609.8,-6804.56,1706.06,2144.2,3311.92,6564.48,6383.32,9882.3,6058.26,1337.64,1385.76,1720.74,-2181.96,-4733.32,-9336.96,-11838.02,-16296.9,-11671.18,-13909.68,-13050.1,-31130.94,-31074.6,-31202.7,-31492.38,-31988,-31971.26,-31313.12,-23043.86,-27262.48,-32595.74,-32827.06,-32844.92,-32818.34,-32815.62,-32744.96,-22128,-32241.66,-32242.32,-32413.96,-32455.6,-32565,-32616.94,-32760.04,-32935.06,-30789.44,-32979.76,-33196.94,-33286.92,-33215.54,-33275.16,-33230.94,-33143.9,-33130.5,-32953.84,-29623.48,-29257.02,-26555.4,-27030.58,-24934.56,-25224.24,-24277.36,-23337.78,-21816.24,-20497.06,-17968.34,-16862.24,-15843.06,-17532.92,-17008.18,-19908.16,Yemen
Scan_9,-8373.6,-13179.12,-4907.66,5918.18,6591.96,7810.36,-29923.38,-26933.88,-31830.1,-31974.66,-18167.9,-14927.62,-19433.24,-27515.58,-13197.92,-23786.86,-15046.64,-8365.4,-13285.54,-16356.28,-27778.92,-29210.34,-17395.28,-12108.88,-32638.78,-32483.78,-25930.36,-15902.28,-15651.5,-13547.84,2160.82,-6212.64,2193.42,2682.86,3847.74,7047.4,6860.6,10283.76,6435.9,1649.88,1673.54,1975.1,-1974.46,-4572.14,-9211.68,-11746.52,-16233.76,-11643.36,-13890.94,-13041.64,-29452.48,-29345.34,-29369.82,-29668.84,-30100.32,-30472.34,-30014.64,-21830.8,-26339.86,-31766.88,-32238.14,-32268.38,-32322.92,-32302,-32222.04,-21699.9,-31876.62,-31708.16,-31921.88,-31897.56,-31895.8,-31941,-32077.04,-32081.92,-29886.08,-32057.54,-32405.54,-32405.48,-32517.54,-32532.84,-32560.6,-32606.28,-32593.4,-32550.48,-29241.62,-29009.48,-26350.78,-26897.88,-24816.86,-25130.42,-24235.44,-23321.46,-21813.86,-20502.16,-17935.88,-16818.7,-15779.04,-17436.36,-16883.9,-19758.9,Yemen
Scan_10,-6055.3,-11153.36,-3724.72,7271.68,6908.96,8116.78,-29960.3,-27218.46,-32192.1,-32290.16,-18480.38,-15107.38,-19462.42,-27320.78,-12876.36,-23247.14,-14425.1,-7830.06,-12670.72,-15816.92,-27215.28,-28666.08,-16951.54,-11716,-32319.94,-32208.28,-25754.78,-15673.6,-15490.32,-13389.42,2298.32,-6114.16,2295.9,2716.32,3818.78,7010.64,6792.72,10212.24,6349.52,1590.14,1619.32,1937.92,-1987.22,-4554.66,-9158.16,-11659.8,-16135.2,-11520.28,-13762.58,-12925.22,-29483.82,-29491.6,-29881.34,-30277.74,-30589.24,-31075.52,-30475.58,-22126.74,-26540.94,-31830.4,-32175.02,-32152.7,-32225.74,-32241.48,-32286.32,-21808.9,-32099.34,-32086.88,-32371.8,-32425.24,-32503.38,-32581.72,-32648.7,-32682,-30456.62,-32570.78,-32881.08,-32846.5,-32877.36,-32904.26,-32899.88,-32921.98,-32892.7,-32840.08,-29505.82,-29225.46,-26548.1,-27083.4,-24953.94,-25264.46,-24320.58,-23348.36,-21848.94,-20515.52,-17958.34,-16846.92,-15793.42,-17489.16,-16949.78,-19834.22,Yemen
