Country,Average,Std Deviation
Guatemala,-775.675,45218.35153
Guatemala,-822.18,44942.95748
Guatemala,-368.4,44362.26725
Guatemala,-761.643,44792.52617
Guatemala,-552.566,45001.40693
Guatemala,-371.893,45139.96167
Guatemala,-231.372,45381.98028
Guatemala,-115.58,45581.88502
Guatemala,-19.338,45806.83549
Guatemala,50.918,46058.9728
Guatemala,95.653,46202.23687
Guatemala,3244.231,41914.05568
Guatemala,2072.926,43622.57416
Guatemala,77.259,46499.15101
Guatemala,78.688,46483.41506
Guatemala,70.508,46460.03245
Guatemala,-2468.649,42842.33981
Guatemala,-6867.994,36573.45211
Guatemala,-9452.463,32871.37617
Guatemala,-12253.429,28884.3263
Guatemala,-12412.371,25345.24838
Guatemala,-11065.879,21536.32154
Guatemala,-11912.301,21978.86856
Guatemala,-9674.929,19208.02821
Guatemala,-10344.885,21343.02965
Guatemala,-8602.557,20182.40438
Guatemala,-7760.286,20449.80247
Guatemala,-7720.666,21073.46782
Guatemala,-7218.977,20355.69646
Guatemala,-5877.733,20872.10502
Guatemala,-6142.094,19082.38806
Guatemala,-4548.752,17576.82762
Guatemala,-4008.286,17042.22378
Guatemala,-1677.71,17219.5605
Guatemala,-2615.577,18950.71488
Guatemala,-531.704,19900.55869
Guatemala,-675.711,24513.43625
Rwanda,-9333.09,17867.30143
Rwanda,-8485.56,16668.71301
Rwanda,-3887.68,10166.32875
Rwanda,-1608.03,6942.416804
Rwanda,-10653.01,19733.95019
Rwanda,-7863.48,15788.95903
Rwanda,-15105.15,26030.22696
Rwanda,-15070.7,25981.5073
Rwanda,-982.88,6058.321196
Rwanda,5919.63,3703.302061
Rwanda,4643.72,1898.892834
Rwanda,-519.91,5403.582743
Rwanda,-3081.56,9026.302915
Rwanda,2897.02,571.3139949
Rwanda,-2881.49,8743.361207
Rwanda,-2598.32,8342.898353
Rwanda,2213.4,1538.09867
Rwanda,-342.94,5153.309368
Rwanda,2564.99,1040.875324
Rwanda,-1812,7230.873944
Rwanda,-5664.06,12678.50944
Rwanda,100.71,4525.893522
Rwanda,-1071.93,6184.256913
Rwanda,-1122.97,6256.438374
Rwanda,1310.5,2814.992096
Rwanda,2095.51,1704.820307
Rwanda,1526.83,2509.055276
Rwanda,600.06,3819.705979
Rwanda,-1552.86,6864.394642
Rwanda,-104.89,4816.65583
Rwanda,3089.06,299.7284224
Rwanda,1786.3,2142.109283
Rwanda,2494.49,1140.57738
Rwanda,964.9,3303.744303
Rwanda,-714.72,5679.085687
Rwanda,-1920.44,7384.231263
Rwanda,-4004.51,10331.55132
Rwanda,-4727.78,11354.40957
Rwanda,-6808.32,14296.73745
Rwanda,-8302.44,16409.74222
Rwanda,-9447.12,18028.5642
Rwanda,-9505.43,18111.02699
Rwanda,-8642.09,16890.07985
Rwanda,-8726.58,17009.56676
Rwanda,-10540.61,19574.99259
Rwanda,-10009.14,18823.38051
Rwanda,-9459.17,18045.60547
Rwanda,-8211.64,16281.33163
Rwanda,-8679.18,16942.53304
Rwanda,-6722.94,14175.9919
Rwanda,13809.22,14860.86724
Rwanda,14506.57,15847.06907
Rwanda,17149.16,19584.25569
Rwanda,17714.01,20383.07422
Rwanda,17851.97,20578.17912
Rwanda,18030.95,20831.29506
Rwanda,15851.24,17748.71962
Rwanda,17915.17,20667.55742
Rwanda,17914.31,20666.34119
Rwanda,18696.43,21772.4259
Rwanda,18914.68,22081.07801
Rwanda,18915.69,22082.50637
Rwanda,18929.15,22101.54168
Rwanda,18962.67,22148.94612
Rwanda,18922.41,22092.00989
Rwanda,18817.6,21943.78616
Rwanda,18816.07,21941.62242
Rwanda,18810.8,21934.16951
Rwanda,18753.42,21853.02194
Rwanda,18697.36,21773.74112
Rwanda,18815.54,21940.87288
Rwanda,18732.54,21823.49316
Rwanda,18597.81,21632.95616
Rwanda,18474.13,21458.04623
Rwanda,18415.08,21374.53692
Rwanda,18248.15,21138.46225
Rwanda,18118.62,20955.27917
Rwanda,18004.21,20793.47899
Rwanda,17892.45,20635.42648
Rwanda,17793.77,20495.87189
Rwanda,17741.94,20422.5732
Rwanda,14699.18,16119.46074
Rwanda,11037.06,10940.44097
Rwanda,7942.54,6564.128818
Rwanda,4929.32,2302.792228
Rwanda,3428.27,179.9869601
Rwanda,2562.92,1043.802746
Rwanda,2256.5,1477.146066
Rwanda,2142.59,1638.239133
Rwanda,3372.68,101.3708282
Rwanda,4240.14,1328.144525
Rwanda,5947.61,3742.871756
Rwanda,8545.94,7417.465282
Rwanda,9479.58,8737.831632
Rwanda,7800.02,6362.575101
Rwanda,10452.32,10113.49373
Rwanda,12180.62,12557.67903
Rwanda,15427.05,17148.82437
Rwanda,14658.4,16061.78911
Rwanda,16509.71,18679.93682
